# panacus histgrowth ecoli2146.pan.explode.0.og.crush.gfa -c bp -q 0,1,0.5,0.1 -t 28
panacus	growth	growth	growth	growth
count	bp	bp	bp	bp
coverage	1	1	1	1
quorum	0	1	0.5	0.1
320	32627355	0	NaN	NaN
321	32673188	0	NaN	NaN
322	32718954	0	NaN	NaN
323	32764653	0	NaN	NaN
324	32810285	0	NaN	NaN
325	32855851	0	NaN	NaN
326	32901351	0	NaN	NaN
327	32946786	0	NaN	NaN
328	32992155	0	NaN	NaN
329	33037459	0	NaN	NaN
330	33082699	0	NaN	NaN
331	33127874	0	NaN	NaN
332	33172984	0	NaN	NaN
333	33218031	0	NaN	NaN
334	33263015	0	NaN	NaN
335	33307934	0	NaN	NaN
336	33352791	0	NaN	NaN
337	33397585	0	NaN	NaN
338	33442317	0	NaN	NaN
339	33486986	0	NaN	NaN
340	33531594	0	NaN	NaN
341	33576139	0	NaN	NaN
342	33620623	0	NaN	NaN
343	33665046	0	NaN	NaN
344	33709409	0	NaN	NaN
345	33753710	0	NaN	NaN
346	33797951	0	NaN	NaN
347	33842132	0	NaN	NaN
348	33886253	0	NaN	NaN
349	33930315	0	NaN	NaN
350	33974317	0	NaN	NaN
351	34018260	0	NaN	NaN
352	34062144	0	NaN	NaN
353	34105970	0	NaN	NaN
354	34149737	0	NaN	NaN
355	34193446	0	NaN	NaN
356	34237097	0	NaN	NaN
357	34280691	0	NaN	NaN
358	34324227	0	NaN	NaN
359	34367706	0	NaN	NaN
360	34411128	0	NaN	NaN
361	34454494	0	NaN	NaN
362	34497802	0	NaN	NaN
363	34541055	0	NaN	NaN
364	34584252	0	NaN	NaN
365	34627393	0	NaN	NaN
366	34670478	0	NaN	NaN
367	34713508	0	NaN	NaN
368	34756483	0	NaN	NaN
369	34799403	0	NaN	NaN
370	34842269	0	NaN	NaN
371	34885080	0	NaN	NaN
372	34927836	0	NaN	NaN
373	34970539	0	NaN	NaN
374	35013188	0	NaN	NaN
375	35055783	0	NaN	NaN
376	35098325	0	NaN	NaN
377	35140814	0	NaN	NaN
378	35183250	0	NaN	NaN
379	35225633	0	NaN	NaN
380	35267964	0	NaN	NaN
381	35310242	0	NaN	NaN
382	35352469	0	NaN	NaN
383	35394643	0	NaN	NaN
384	35436766	0	NaN	NaN
385	35478837	0	NaN	NaN
386	35520856	0	NaN	NaN
387	35562825	0	NaN	NaN
388	35604743	0	NaN	NaN
389	35646610	0	NaN	NaN
390	35688426	0	NaN	NaN
391	35730192	0	NaN	NaN
392	35771908	0	NaN	NaN
393	35813575	0	NaN	NaN
394	35855191	0	NaN	NaN
395	35896757	0	NaN	NaN
396	35938275	0	NaN	NaN
397	35979743	0	NaN	NaN
398	36021162	0	NaN	NaN
399	36062532	0	NaN	NaN
400	36103854	0	NaN	NaN
401	36145127	0	NaN	NaN
402	36186352	0	NaN	NaN
403	36227528	0	NaN	NaN
404	36268657	0	NaN	NaN
405	36309738	0	NaN	NaN
406	36350771	0	NaN	NaN
