# panacus histgrowth ecoli2146.pan.explode.0.og.crush.og.2013.gfa -c bp -q 0,1,0.5,0.1 -t 28
panacus	growth	growth	growth	growth
count	bp	bp	bp	bp
coverage	1	1	1	1
quorum	0	1	0.5	0.1
367	34766365	1126400	4184842	7026273
368	34809246	1124064	4188140	7031768
369	34852073	1121733	4184847	7037240
370	34894846	1119409	4188127	7042690
371	34937566	1117090	4184853	6993699
372	34980232	1114778	4188114	6999183
373	35022845	1112472	4184859	7004645
374	35065404	1110171	4188101	7010086
375	35107911	1107877	4184865	7015504
376	35150365	1105588	4188089	7020901
377	35192767	1103305	4184870	7026276
378	35235116	1101028	4188076	7031630
379	35277414	1098757	4184876	7036962
380	35319660	1096492	4188064	7042272
381	35361854	1094233	4184881	6994532
382	35403996	1091979	4188052	6999876
383	35446088	1089731	4184887	7005199
384	35488128	1087489	4188040	7010501
385	35530118	1085252	4184892	7015782
386	35572057	1083021	4188028	7021043
387	35613945	1080796	4184897	7026284
388	35655784	1078577	4188016	7031503
389	35697572	1076363	4184903	7036702
390	35739310	1074154	4188005	7041881
391	35780999	1071952	4184908	6995325
392	35822639	1069754	4187994	7000536
393	35864229	1067563	4184913	7005727
394	35905770	1065376	4187983	7010899
395	35947262	1063196	4184918	7016050
396	35988705	1061020	4187972	7021182
397	36030100	1058851	4184923	7026295
398	36071447	1056686	4187961	7031387
399	36112745	1054527	4184928	7036460
400	36153995	1052374	4187950	7041514
401	36195198	1050225	4184933	6996083
402	36236353	1048083	4187939	7001167
403	36277461	1045945	4184938	7006233
404	36318521	1043813	4187929	7011280
405	36359534	1041686	4184943	7016309
406	36400500	1039564	4187919	7021318
407	36441420	1037448	4184948	7026309
408	36482293	1035336	4187909	7031281
409	36523119	1033230	4184953	7036234
410	36563900	1031130	4187898	7041168
411	36604634	1029034	4184958	6996806
412	36645322	1026943	4187889	7001771
413	36685965	1024858	4184962	7006718
414	36726562	1022778	4187879	7011647
415	36767114	1020703	4184967	7016558
416	36807620	1018633	4187869	7021451
417	36848081	1016567	4184972	7026326
418	36888498	1014507	4187860	7031183
419	36928869	1012453	4184976	7036022
420	36969197	1010403	4187850	7040843
421	37009479	1008358	4184981	6997498
422	37049718	1006318	4187841	7002349
423	37089912	1004283	4184986	7007182
424	37130062	1002252	4187832	7011999
425	37170169	1000227	4184990	7016798
426	37210232	998207	4187823	7021580
427	37250251	996192	4184994	7026345
428	37290227	994181	4187814	7031093
429	37330160	992175	4184999	7035823
430	37370050	990174	4187805	7040537
431	37409897	988178	4185003	6998161
432	37449701	986187	4187796	7002903
433	37489463	984201	4185008	7007628
434	37529182	982219	4187787	7012337
435	37568859	980242	4185012	7017030
436	37608493	978270	4187779	7021706
437	37648086	976302	4185016	7026366
438	37687637	974339	4187770	7031010
439	37727146	972381	4185021	7035636
440	37766614	970427	4187762	7040247
441	37806040	968479	4185025	6998796
442	37845425	966534	4187754	7003434
443	37884768	964595	4185029	7008057
444	37924071	962660	4187746	7012663
445	37963333	960729	4185033	7017254
446	38002554	958803	4187738	7021830
447	38041735	956882	4185037	7026389
448	38080875	954965	4187730	7030933
449	38119974	953053	4185041	7035461
450	38159034	951145	4187722	7039973
451	38198053	949242	4185045	6999405
452	38237033	947343	4187714	7003944
453	38275973	945449	4185049	7008468
454	38314873	943559	4187706	7012977
455	38353733	941673	4185053	7017471
456	38392555	939792	4187699	7021950
457	38431337	937916	4185057	7026413
458	38470079	936043	4187691	7030862
459	38508783	934175	4185061	7035295
460	38547448	932312	4187684	7039713
461	38586074	930453	4185065	6999990
462	38624662	928598	4187677	7004434
463	38663211	926747	4185069	7008864
464	38701722	924901	4187669	7013280
465	38740194	923059	4185073	7017680
466	38778628	921221	4187662	7022067
467	38817025	919388	4185077	7026439
468	38855383	917558	4187655	7030796
469	38893704	915733	4185081	7035139
470	38931987	913913	4187648	7039467
471	38970232	912096	4185084	7000552
472	39008440	910284	4187641	7004906
473	39046611	908475	4185088	7009245
474	39084745	906671	4187634	7013571
475	39122842	904871	4185092	7017883
476	39160901	903075	4187628	7022181
477	39198924	901284	4185096	7026465
478	39236911	899496	4187621	7030735
479	39274860	897713	4185099	7034991
480	39312773	895933	4187614	7039233
481	39350650	894158	4185103	7001093
482	39388491	892386	4187608	7005359
483	39426295	890619	4185107	7009613
484	39464064	888856	4187601	7013852
485	39501797	887096	4185110	7018079
486	39539493	885341	4187595	7022292
487	39577155	883590	4185114	7026492
488	39614780	881842	4187588	7030678
489	39652370	880099	4185117	7034851
490	39689925	878360	4187582	7039010
491	39727445	876624	4185121	7001613
492	39764929	874892	4187576	7005796
493	39802379	873165	4185124	7009966
494	39839794	871441	4187570	7014124
495	39877173	869721	4185128	7018269
496	39914518	868005	4187564	7022400
497	39951829	866293	4185131	7026519
498	39989105	864584	4187558	7030625
499	40026347	862880	4185135	7034718
500	40063554	861179	4187552	7038798
501	40100727	859482	4185138	7002114
502	40137866	857789	4187546	7006217
503	40174971	856100	4185142	7010308
504	40212043	854414	4187540	7014386
505	40249080	852733	4185145	7018452
506	40286084	851054	4187535	7022506
507	40323054	849380	4185149	7026547
508	40359991	847710	4187529	7030576
509	40396895	846043	4185152	7034592
510	40433765	844380	4187523	7038595
511	40470602	842720	4185155	7002597
512	40507406	841064	4187518	7006623
513	40544177	839412	4185159	7010637
514	40580915	837764	4187512	7014639
515	40617621	836119	4185162	7018630
516	40654293	834478	4187507	7022608
517	40690933	832840	4185165	7026575
518	40727541	831206	4187501	7030529
519	40764116	829576	4185169	7034472
520	40800659	827949	4187496	7038402
521	40837170	826326	4185172	7003062
522	40873649	824706	4187491	7007014
523	40910095	823090	4185175	7010955
524	40946510	821477	4187486	7014884
525	40982893	819868	4185178	7018802
526	41019244	818263	4187481	7022708
527	41055563	816661	4185182	7026603
528	41091851	815062	4187475	7030486
529	41128108	813467	4185185	7034357
530	41164333	811876	4187470	7038217
531	41200527	810287	4185188	7003511
532	41236689	808703	4187465	7007392
533	41272821	807122	4185191	7011262
534	41308921	805544	4187460	7015121
535	41344991	803970	4185194	7018969
536	41381029	802399	4187456	7022805
537	41417037	800831	4185198	7026631
538	41453014	799267	4187451	7030445
539	41488961	797706	4185201	7034248
540	41524877	796149	4187446	7038040
541	41560763	794595	4185204	7003944
542	41596618	793044	4187441	7007757
543	41632443	791497	4185207	7011559
